features
Item_Cucumbers and gherkins
Item_Currants
Item_Dates
"Item_Edible offal of buffalo, fresh, chilled or frozen"
"Item_Edible offal of cattle, fresh, chilled or frozen"
"Item_Edible offal of goat, fresh, chilled or frozen"
"Item_Edible offal of pigs, fresh, chilled or frozen"
"Item_Edible offal of sheep, fresh, chilled or frozen"
"Item_Edible offals of camels and other camelids, fresh, chilled or frozen"
"Item_Edible offals of horses and other equines,  fresh, chilled or frozen"
"Item_Edible roots and tubers with high starch or inulin content, n.e.c., fresh"
Item_Eggplants (aubergines)
"Item_Eggs from other birds in shell, fresh, n.e.c."
Item_Fat of camels
Item_Fat of pigs
Item_Figs
"Item_Flax, raw or retted"
Item_Fonio
"Item_Game meat, fresh, chilled or frozen"
Item_Ghee from buffalo milk
Item_Ghee from cow milk
"Item_Ginger, raw"
"Item_Goat fat, unrendered"
Item_Gooseberries
Item_Grapes
Item_Green corn (maize)
Item_Green garlic
"Item_Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
Item_Groundnut oil
"Item_Groundnuts, excluding shelled"
"Item_Hazelnuts, in shell"
Item_Hempseed
"Item_Hen eggs in shell, fresh"
Item_Hop cones
"Item_Horse meat, fresh or chilled"
Item_Jojoba seeds
"Item_Jute, raw or retted"
"Item_Kapok fibre, raw"
Item_Kapok fruit
Item_Kapokseed in shell
Item_Karite nuts (sheanuts)
"Item_Kenaf, and other textile bast fibres, raw or retted"
Item_Kiwi fruit
Item_Kola nuts
Item_Leeks and other alliaceous vegetables
Item_Lemons and limes
"Item_Lentils, dry"
Item_Lettuce and chicory
Item_Linseed
Item_Locust beans (carobs)
Item_Lupins
Item_Maize (corn)
"Item_Mangoes, guavas and mangosteens"
Item_Margarine and shortening
Item_Mat� leaves
"Item_Meat of asses, fresh or chilled"
"Item_Meat of buffalo, fresh or chilled"
"Item_Meat of camels, fresh or chilled"
"Item_Meat of cattle with the bone, fresh or chilled"
"Item_Meat of chickens, fresh or chilled"
"Item_Meat of ducks, fresh or chilled"
"Item_Meat of geese, fresh or chilled"
"Item_Meat of goat, fresh or chilled"
"Item_Meat of mules, fresh or chilled"
"Item_Meat of other domestic camelids, fresh or chilled"
"Item_Meat of other domestic rodents, fresh or chilled"
"Item_Meat of pig with the bone, fresh or chilled"
"Item_Meat of pigeons and other birds n.e.c., fresh, chilled or frozen"
"Item_Meat of rabbits and hares, fresh or chilled"
"Item_Meat of sheep, fresh or chilled"
"Item_Meat of turkeys, fresh or chilled"
Item_Melonseed
Item_Millet
Item_Mixed grain
Item_Molasses
Item_Mushrooms and truffles
Item_Mustard seed
Item_Natural honey
Item_Natural rubber in primary forms
"Item_Nutmeg, mace, cardamoms, raw"
Item_Oats
Item_Oil of linseed
Item_Oil of maize
Item_Oil of palm kernel
Item_Oil of sesame seed
Item_Oil palm fruit
Item_Okra
Item_Olive oil
Item_Olives
"Item_Onions and shallots, dry (excluding dehydrated)"
"Item_Onions and shallots, green"
Item_Oranges
"Item_Other beans, green"
Item_Other berries and fruits of the genus vaccinium n.e.c.
"Item_Other citrus fruit, n.e.c."
"Item_Other fibre crops, raw, n.e.c."
"Item_Other fruits, n.e.c."
"Item_Other meat of mammals, fresh or chilled"
"Item_Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c."
"Item_Other oil seeds, n.e.c."
Item_Other pome fruits
Item_Other pulses n.e.c.
"Item_Other stimulant, spice and aromatic crops, n.e.c."
Item_Other stone fruits
Item_Other sugar crops n.e.c.
"Item_Other tropical fruits, n.e.c."
"Item_Other vegetables, fresh n.e.c."
Item_Palm kernels
Item_Palm oil
Item_Papayas
Item_Peaches and nectarines
Item_Pears
"Item_Peas, dry"
"Item_Peas, green"
"Item_Pepper (Piper spp.), raw"
"Item_Peppermint, spearmint"
Item_Persimmons
"Item_Pig fat, rendered"
"Item_Pigeon peas, dry"
Item_Pineapples
"Item_Pistachios, in shell"
Item_Plantains and cooking bananas
Item_Plums and sloes
Item_Pomelos and grapefruits
Item_Poppy seed
Item_Potatoes
"Item_Pumpkins, squash and gourds"
"Item_Pyrethrum, dried flowers"
Item_Quinces
Item_Quinoa
"Item_Ramie, raw or retted"
Item_Rape or colza seed
"Item_Rapeseed or canola oil, crude"
Item_Raspberries
Item_Raw cane or beet sugar (centrifugal only)
Item_Raw hides and skins of buffaloes
Item_Raw hides and skins of cattle
Item_Raw hides and skins of goats or kids
Item_Raw hides and skins of sheep or lambs
Item_Raw milk of buffalo
Item_Raw milk of camel
Item_Raw milk of cattle
Item_Raw milk of goats
Item_Raw milk of sheep
Item_Raw silk (not thrown)
Item_Rice
Item_Rye
Item_Safflower seed
"Item_Safflower-seed oil, crude"
"Item_Seed cotton, unginned"
Item_Sesame seed
"Item_Sheep fat, unrendered"
"Item_Shorn wool, greasy, including fleece-washed shorn wool"
Item_Silk-worm cocoons suitable for reeling
"Item_Sisal, raw"
Item_Skim milk and whey powder
Item_Skim milk of cows
"Item_Skim milk, condensed"
"Item_Skim milk, evaporated"
"Item_Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
Item_Sorghum
Item_Sour cherries
Item_Soya bean oil
Item_Soya beans
Item_Spinach
Item_Strawberries
Item_String beans
Item_Sugar beet
Item_Sugar cane
Item_Sunflower seed
"Item_Sunflower-seed oil, crude"
Item_Sweet potatoes
Item_Tallow
Item_Tallowtree seeds
"Item_Tangerines, mandarins, clementines"
Item_Taro
Item_Tea leaves
Item_Tomatoes
Item_Triticale
"Item_True hemp, raw or retted"
Item_Tung nuts
Item_Unmanufactured tobacco
"Item_Vanilla, raw"
Item_Vetches
"Item_Walnuts, in shell"
Item_Watermelons
Item_Wheat
"Item_Whey, condensed"
"Item_Whey, dry"
Item_Whole milk powder
"Item_Whole milk, condensed"
"Item_Whole milk, evaporated"
Item_Wine
Item_Yams
Item_Yautia
Item_Yoghurt
